date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:17:52	117665/117665	---MCZ	200	added ('OK')	text/html	etag:W/%2263eb2f1d-1cba1%22	https://htmldemo.net/learts/learts/index.html	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/index.html	(from )
07:17:52	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2003:17:52%20GMT	https://htmldemo.net/robots.txt		(from )
07:17:53	318/318	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Apr%202023%2003:17:53%20GMT	https://htmldemo.net/learts/learts/assets/images/favicon.webp	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/images/favicon.webp	(from https://htmldemo.net/learts/learts/index.html)
07:17:53	155585/155585	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f72-25fc1%22	https://htmldemo.net/learts/learts/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:54	171020/171020	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f72-29c0c%22	https://htmldemo.net/learts/learts/assets/css/vendor/font-awesome-pro.min.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/vendor/font-awesome-pro.min.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:54	16877/16877	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f74-41ed%22	https://htmldemo.net/learts/learts/assets/css/vendor/themify-icons.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/vendor/themify-icons.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:54	14966/14966	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f69-3a76%22	https://htmldemo.net/learts/learts/assets/css/plugins/select2.min.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/plugins/select2.min.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:55	4412/4412	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f66-113c%22	https://htmldemo.net/learts/learts/assets/css/plugins/perfect-scrollbar.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/plugins/perfect-scrollbar.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:55	13666/13666	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f6d-3562%22	https://htmldemo.net/learts/learts/assets/css/plugins/swiper.min.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/plugins/swiper.min.css	(from https://htmldemo.net/learts/learts/index.html)
07:17:55	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%2263eb2f66-fa7%22	https://htmldemo.net/learts/learts/assets/css/plugins/nice-select.css	C:/My%20Web%20Sites/Ecommerce/htmldemo.net/learts/learts/assets/css/plugins/nice-select.css	(from https://htmldemo.net/learts/learts/index.html)
